key,en
warning_could_not_access_test321_prefere,Warning: Could not access test321 preferences.
login_info_cleared_from_preferences,Login info cleared from preferences.
rbx_toolbox,RBX Toolbox
github,GitHub
privacy_policy,Privacy Policy
terms_of_service,Terms of Service
s_90e160b2,**********************************************
rbx_toolbox_log,RBX Toolbox Log
os_platform,OS Platform:
blender_ver,Blender ver:
addon_path,Addon path:
include,Include
transform,Transform
armature,Armature
bake_animation,Bake Animation
error_getting_info_from_url,ERROR getting info from: {url}
error_parsing_atom_xml_from_url_e,ERROR parsing Atom XML from {url}: {e}
no_atom_entries_found_in_feed_url,No Atom entries found in feed: {url}
malformed_atom_entry_in_feed_url,Malformed Atom entry in feed: {url}
no_internet_connection_skipping_rbx_tool,No internet connection. Skipping RBX Toolbox update check.
no_internet_connection_skipping_aepbr_up,No internet connection. Skipping AEPBR update check.
successfully_logged_out_for_update_rbx_t,Successfully logged out for update RBX Toolbox
install_update,Install Update
operator_is_already_running,Operator is already running.
downloading_update,Downloading update...
update_url,Update URL:
download_error,Download ERROR:
simulate_installing,Simulate installing
update_installed_successfully_please_res,Update Installed! Successfully. Please restart Blender
update_error,Update ERROR:
error_error_message,Error: {error_message}
installation_finished_please_restart_ble,Installation finished. Please restart Blender.
install_aepbr_update,Install AEPBR Update
aepbr_update_url,AEPBR Update URL:
update_error_moving_files,Update Error (moving files)
update_installed_successfully,Update Installed! Successfully
error_aepbr_error_message,Error: {aepbr_error_message}
installation_finished,Installation finished.
reloaded_module_full_module_name,Reloaded module: {full_module_name}
module_full_module_name_not_found_for_re,Module {full_module_name} not found for reloading.
error_during_oauth_registration_e,Error during OAuth registration: {e}
error_during_oauth_unregistration_e,Error during OAuth unregistration: {e}
button_bn,BUTTON_BN
armature_appended,Armature Appended
nothing_selected,Nothing Selected
normals_recalculated,Normals Recalculated
doubles_removed,Doubles Removed
more_than_2_objects_selected,More than 2 Objects selected
2_objects_must_be_selected,2 Objects Must be Selected
no_bones_selected,No Bones Selected
no_mesh_selected,No Mesh Selected
bones_successfully_parented,Bones Successfully Parented
rbx_button_ava,RBX_BUTTON_AVA
select_exactly_1_head_mesh,Select exactly 1 Head Mesh
head_mesh_should_be_selected,Head Mesh should be selected
select_exactly_1_armature,Select exactly 1 Armature
failed_to_append_e,Failed to append: {e}
debug_facs_animation_missing_bones_missi,DEBUG FACS ANIMATION: Missing bones: {missing_bones}
facs_animation_applied,FACS Animation applied!
could_not_find_animation_data_in_templat,Could not find animation data in template
button_cmr,BUTTON_CMR
cameras_setup_spawned,Cameras Setup Spawned
cameras_setup_already_exist,Cameras Setup Already Exist
avatar_editor_room_setup_spawned,Avatar Editor Room Setup Spawned
avatar_editor_room_setup_already_exist,Avatar Editor Room Setup Already Exist
animated_staging_setup_appended,Animated Staging Setup Appended
s_c61c1aca,"""'"
button_dmmy,BUTTON_DMMY
dmy_spwn_dummy_spawned,{dmy_spwn} Dummy Spawned
dmy_spawned,{dmy} Spawned
rbx_button_lc,RBX_BUTTON_LC
rbx_button_of,RBX_BUTTON_OF
rbx_operators,RBX_OPERATORS
button_hair,BUTTON_HAIR
hair_template_spawned,Hair Template Spawned
hair_shader_spawned,Hair Shader Spawned
hair_texture_baked,Hair Texture Baked
rbx_button_hdrifull,RBX_BUTTON_HDRIFULL
couldn,"""Couldn'"
rbx_toolbox_menu,RBX Toolbox Menu
show_face_orientation,Show Face Orientation
set_origin,Set Origin
recalculate_normals,Recalculate Normals
shading,Shading
recalc_outside,Recalc Outside
