file,line,pattern,string,source_line
glob_vars.py,37,print(,Warning: Could not access test321 preferences.,"print(""Warning: Could not access test321 preferences."")"
glob_vars.py,86,print(,Login info cleared from preferences.,"print(""Login info cleared from preferences."")"
index.html,6,html/text,RBX Toolbox,<title>RBX Toolbox</title>
index.html,109,html/text,RBX Toolbox,<h1>RBX Toolbox</h1>
index.html,129,html/text,GitHub,>GitHub</a
index.html,133,html/text,Privacy Policy,>Privacy Policy</a
index.html,137,html/text,Terms of Service,>Terms of Service</a
prefs.py,8,print(,**********************************************,"print(""**********************************************"")"
prefs.py,9,print(,RBX Toolbox Log,"print(""RBX Toolbox Log"")"
prefs.py,10,print(,OS Platform: ,"print(""OS Platform: "" + platform.system())"
prefs.py,11,print(,Blender ver:,"print(""Blender ver:"", glob_vars.bldr_ver)"
prefs.py,12,print(,Addon path:,"print(""Addon path:"", glob_vars.addon_path)"
prefs.py,13,print(,**********************************************,"print(""**********************************************"")"
prefs.py,162,layout.label,Include,"self.layout.label(text=""Include"")"
prefs.py,162,label(text=,Include,"self.layout.label(text=""Include"")"
prefs.py,162,text=,Include,"self.layout.label(text=""Include"")"
prefs.py,166,layout.label,Transform,"self.layout.label(text=""Transform"")"
prefs.py,166,label(text=,Transform,"self.layout.label(text=""Transform"")"
prefs.py,166,text=,Transform,"self.layout.label(text=""Transform"")"
prefs.py,170,layout.label,Armature,"self.layout.label(text=""Armature"")"
prefs.py,170,label(text=,Armature,"self.layout.label(text=""Armature"")"
prefs.py,170,text=,Armature,"self.layout.label(text=""Armature"")"
prefs.py,174,text=,Bake Animation,"self.layout.prop(self, ""bake_anim"", text=""Bake Animation"")"
props.py,19,print(,ERROR getting info from: {url},"print(f""ERROR getting info from: {url}"")"
props.py,27,print(,ERROR parsing Atom XML from {url}: {e},"print(f""ERROR parsing Atom XML from {url}: {e}"")"
props.py,33,print(,No Atom entries found in feed: {url},"print(f""No Atom entries found in feed: {url}"")"
props.py,40,print(,Malformed Atom entry in feed: {url},"print(f""Malformed Atom entry in feed: {url}"")"
props.py,977,print(,No internet connection. Skipping RBX Toolbox update check.,"print(""No internet connection. Skipping RBX Toolbox update check."")"
props.py,992,print(,No internet connection. Skipping AEPBR update check.,"print(""No internet connection. Skipping AEPBR update check."")"
update.py,44,print(,Successfully logged out for update RBX Toolbox,"print(""Successfully logged out for update RBX Toolbox"")"
update.py,53,bl_label,Install Update,"bl_label = ""Install Update"""
update.py,110,self.report,Operator is already running.,"self.report({'ERROR'}, ""Operator is already running."")"
update.py,125,print(,Downloading update...,"print(""Downloading update..."")"
update.py,126,print(,Update URL: ,"print(""Update URL: "", UPDATE_URL)"
update.py,150,print(,Download ERROR: ,"print(""Download ERROR: "", error_message)"
update.py,159,print(,Simulate installing,"print(""Simulate installing"")"
update.py,179,print(,Update Installed! Successfully. Please restart Blender,"print(""Update Installed! Successfully. Please restart Blender"")"
update.py,185,print(,Update ERROR: ,"print(""Update ERROR: "", error_message)"
update.py,202,self.report,Error: {error_message},"self.report({'ERROR'}, f""Error: {error_message}"")"
update.py,206,self.report,Installation finished. Please restart Blender.,"self.report({'INFO'}, ""Installation finished. Please restart Blender."")"
update_aepbr.py,33,bl_label,Install AEPBR Update,"bl_label = ""Install AEPBR Update"""
update_aepbr.py,61,self.report,Operator is already running.,"self.report({'ERROR'}, ""Operator is already running."")"
update_aepbr.py,79,print(,Downloading update...,"print(""Downloading update..."")"
update_aepbr.py,80,print(,AEPBR Update URL: ,"print(""AEPBR Update URL: "", AEPBR_UPDATE_URL)"
update_aepbr.py,104,print(,Download ERROR: ,"print(""Download ERROR: "", aepbr_error_message)"
update_aepbr.py,131,print(,Update Error (moving files),"print(""Update Error (moving files)"")"
update_aepbr.py,138,print(,Update Error (moving files),"print(""Update Error (moving files)"")"
update_aepbr.py,148,print(,Simulate installing,"print(""Simulate installing"")"
update_aepbr.py,168,print(,Update Installed! Successfully,"print(""Update Installed! Successfully"")"
update_aepbr.py,174,print(,Update ERROR: ,"print(""Update ERROR: "", aepbr_error_message)"
update_aepbr.py,193,self.report,Error: {aepbr_error_message},"self.report({'ERROR'}, f""Error: {aepbr_error_message}"")"
update_aepbr.py,197,self.report,Installation finished.,"self.report({'INFO'}, ""Installation finished."")"
__init__.py,75,print(,Reloaded module: {full_module_name},"print(f""Reloaded module: {full_module_name}"")"
__init__.py,77,print(,Module {full_module_name} not found for reloading.,"print(f""Module {full_module_name} not found for reloading."")"
__init__.py,168,print(,Error during OAuth registration: {e},"print(f""Error during OAuth registration: {e}"")"
__init__.py,220,print(,Error during OAuth unregistration: {e},"print(f""Error during OAuth unregistration: {e}"")"
functions\armature_buttons.py,8,bl_label,BUTTON_BN,"bl_label = ""BUTTON_BN"""
functions\armature_buttons.py,47,print(,Armature Appended,"print(""Armature Appended"")"
functions\armature_buttons.py,55,print(,Nothing Selected,"print(""Nothing Selected"")"
functions\armature_buttons.py,75,print(,Normals Recalculated,"print(""Normals Recalculated"")"
functions\armature_buttons.py,82,print(,Nothing Selected,"print(""Nothing Selected"")"
functions\armature_buttons.py,110,print(,Doubles Removed,"print(""Doubles Removed"")"
functions\armature_buttons.py,119,print(,Nothing Selected,"print(""Nothing Selected"")"
functions\armature_buttons.py,124,print(,More than 2 Objects selected,"print(""More than 2 Objects selected"")"
functions\armature_buttons.py,128,print(,2 Objects Must be Selected,"print(""2 Objects Must be Selected"")"
functions\armature_buttons.py,136,print(,No Bones Selected,"print(""No Bones Selected"")"
functions\armature_buttons.py,143,print(,No Mesh Selected,"print(""No Mesh Selected"")"
functions\armature_buttons.py,163,print(,Bones Successfully Parented,"print(""Bones Successfully Parented"")"
functions\avatar_buttons.py,11,bl_label,RBX_BUTTON_AVA,"bl_label = ""RBX_BUTTON_AVA"""
functions\avatar_buttons.py,81,self.report,Select exactly 1 Head Mesh,"self.report({'ERROR'}, ""Select exactly 1 Head Mesh"")"
functions\avatar_buttons.py,86,self.report,Head Mesh should be selected,"self.report({'ERROR'}, ""Head Mesh should be selected"")"
functions\avatar_buttons.py,217,self.report,Select exactly 1 Armature,"self.report({'ERROR'}, ""Select exactly 1 Armature"")"
functions\avatar_buttons.py,229,self.report,Failed to append: {e},"self.report({'ERROR'}, f""Failed to append: {e}"")"
functions\avatar_buttons.py,280,print(,DEBUG FACS ANIMATION: Missing bones: {missing_bones},"print(f""DEBUG FACS ANIMATION: Missing bones: {missing_bones}"")"
functions\avatar_buttons.py,313,self.report,FACS Animation applied!,"self.report({'INFO'}, ""FACS Animation applied!"")"
functions\avatar_buttons.py,315,self.report,Could not find animation data in template,"self.report({'ERROR'}, ""Could not find animation data in template"")"
functions\cam_staging.py,7,bl_label,BUTTON_CMR,"bl_label = ""BUTTON_CMR"""
functions\cam_staging.py,25,print(,Cameras Setup Spawned,"print(""Cameras Setup Spawned"")"
functions\cam_staging.py,27,print(,Cameras Setup Already Exist,"print(""Cameras Setup Already Exist"")"
functions\cam_staging.py,36,print(,Avatar Editor Room Setup Spawned,"print(""Avatar Editor Room Setup Spawned"")"
functions\cam_staging.py,38,print(,Avatar Editor Room Setup Already Exist,"print(""Avatar Editor Room Setup Already Exist"")"
functions\cam_staging.py,70,print(,Animated Staging Setup Appended,"print(""Animated Staging Setup Appended"")"
functions\cam_staging.py,80,print(,"""'","print(""'Staging Camera' Set as Active"")"
functions\cam_staging.py,91,print(,"""'","print(""'Avatar Editor Camera' Set as Active"")"
functions\dmy_buttons.py,8,bl_label,BUTTON_DMMY,"bl_label = ""BUTTON_DMMY"""
functions\dmy_buttons.py,56,print(,{dmy_spwn} Dummy Spawned,"print(f""{dmy_spwn} Dummy Spawned"")"
functions\dmy_buttons.py,68,print(,{dmy_spwn} Dummy Spawned,"print(f""{dmy_spwn} Dummy Spawned"")"
functions\dmy_buttons.py,78,print(,{dmy} Spawned,"print(f""{dmy} Spawned"")"
functions\dmy_lc_buttons.py,7,bl_label,RBX_BUTTON_LC,"bl_label = ""RBX_BUTTON_LC"""
functions\funct_others.py,9,bl_label,RBX_BUTTON_OF,"bl_label = ""RBX_BUTTON_OF"""
functions\funct_others.py,83,print(,Nothing Selected,"print(""Nothing Selected"")"
functions\funct_others.py,109,print(,Normals Recalculated,"print(""Normals Recalculated"")"
functions\funct_others.py,210,print(,Nothing Selected,"print(""Nothing Selected"")"
functions\funct_others.py,236,print(,Normals Recalculated,"print(""Normals Recalculated"")"
functions\func_export.py,6,bl_label,RBX_OPERATORS,"bl_label = ""RBX_OPERATORS"""
functions\hair_buttons.py,7,bl_label,BUTTON_HAIR,"bl_label = ""BUTTON_HAIR"""
